ANLN
FOXC1
CDH3
UBE2T
NDC80
PGR
BIRC5
ORC6
ESR1
PHGDH
CDC6
MMP11
MYBL2
SFRP1
CCNE1
BLVRA
BAG1
MLPH
CDC20
CENPF
KRT17
FOXA1
ACTR3B
CCNB1
MDM2
MYC
CEP55
SLC39A6
ERBB2
GRB7
KIF2C
NUF2
EGFR
MKI67
TMEM45B
FGFR4
PTTG1
MELK
NAT1
CXXC5
BCL2
RRM2
GPR160
EXO1
UBE2C
TYMS
KRT5
KRT14
MAPT
MIA
