allgene_histvec,ANLN,FOXC1,CDH3,UBE2T,NDC80,PGR,BIRC5,ORC6,ESR1,PHGDH,CDC6,MMP11,MYBL2,SFRP1,CCNE1,BLVRA,BAG1,MLPH,CDC20,CENPF,KRT17,FOXA1,ACTR3B,CCNB1,MDM2,MYC,CEP55,SLC39A6,ERBB2,GRB7,KIF2C,NUF2,EGFR,MKI67,TMEM45B,FGFR4,PTTG1,MELK,NAT1,CXXC5,BCL2,RRM2,GPR160,EXO1,UBE2C,TYMS,KRT5,KRT14,MAPT,MIA
Luminal_A,11.1741076981553,5.79450194070511,8.41163311325968,9.80781197337733,9.98870241760265,12.6113165689083,10.8404334583488,9.1687185229082,13.2394966522691,10.984179171006,10.4319704736485,14.4332070122222,11.0348245716587,10.3001587838953,8.84909512610031,11.2711822522041,12.4024270127989,14.1416092053753,10.7690989245202,12.2559457750236,0.921053064898472,13.8673497698458,9.77581925352326,11.7859453855712,15.2810001123002,12.5680300818966,9.82922540283109,17.8940142308068,14.2627583608017,11.2836456829843,10.8425409989758,9.70962339560645,8.68653056223572,12.7365363599043,4.70143335985367,7.81549680953932,10.1276908346493,9.59262116453532,14.4482203556583,13.1374751559712,12.6949557053294,11.9850954878368,11.9180588033317,9.13013051624851,10.6791927002359,10.1640980520234,2.66924937802996,0,14.4627936672212,1.87989813455268
Triple_Positive,12.1496282694984,7.31769043891175,11.1471981020586,11.4921006989949,9.82805499946574,6.30056618479922,12.1496282694984,10.4231277930531,7.83736150192761,11.0505207855968,10.6379951878823,14.1632823277979,13.5662968243356,8.09478815662573,9.39667960952968,12.444516789041,11.0958742694081,15.7447128129878,10.9041373192372,12.5770032774827,10.7700684345254,14.059942807041,8.69564957475822,12.3804490801431,11.3189865964797,8.95223921244614,10.7018024765184,12.1808625935069,19.0749468333394,16.4053743387194,11.2055895455261,10.4810099248286,9.38739570358429,12.5996239567516,11.2300323223219,12.6486932949043,10.6740743050763,10.4795544122349,10.7617097648023,12.3827868840338,9.5817109225871,13.1592757325601,13.4686172176269,10.5169285258662,12.0033437732654,10.6288326444413,10.1524085790369,9.72863269381059,9.17361552972361,3.80433190235236
Luminal_A,10.8328572587196,8.82952710016985,9.90224306239549,11.054322211317,10.4623496238988,10.4375781615266,11.8027028235868,10.1171586153254,14.3663180618593,8.29109100319167,11.3796951822766,14.7923707372692,13.0124774510411,7.53867649604372,9.07414401472049,12.6180377160636,12.4311620008874,13.8816730473295,11.3481428358014,12.1255198105811,5.11374464892063,13.6634991123507,8.71874946054404,12.3345102983308,12.3298064009461,11.7341753594212,9.83933289853132,15.4099161051368,14.9348123096225,12.0367679693325,11.0280134239622,10.4072798044662,9.10593443832194,11.3428163639551,5.21049989750951,7.13241046150287,11.2057685371865,10.6291558589929,11.8409876596993,13.8669054305298,12.8374809049366,11.853214628736,10.5914748118156,9.06122907241005,11.8305602045555,10.5342098892591,4.15482052222896,3.406966514418,13.0884388551769,1.7662940705684
Triple_Positive,10.8639035306951,9.57042049319397,11.4598750604912,10.0564930632333,9.02636326244271,12.6151001177595,11.6345985583233,7.59052587552747,12.7783492265873,10.9269672384698,9.0681910006143,14.0027443609072,10.4760091683787,11.7190779513927,7.14206059025918,11.9180441246485,12.2827990034024,14.996620805147,10.608467964819,12.1133462944328,13.9013290951123,14.3280213408673,8.52804110245619,11.1589646876913,11.9862549781684,11.9439524372763,9.74819852819973,15.6767719601565,16.6216881056604,12.6497040770658,9.75003539086095,8.82847411898753,11.2218647972259,11.6019161949723,10.6135215016504,8.96758484964243,9.83209846849153,9.51532586741488,11.7674886943246,13.4089395497807,12.613839772567,11.3283586158111,10.9180084585227,8.50211695061408,10.5516783896544,10.530460541472,13.2489520454783,13.6084187575925,12.7917865909945,6.74523404477643
Luminal_A,10.0664307277674,8.73959032814518,10.7087557160441,9.1928262066134,9.00655873115973,13.6033490950042,10.4853568267895,7.52297281592496,13.953470478484,10.7855193145365,10.1802652520073,15.9589543104168,10.4218473956273,12.0565428163411,7.36184825252125,10.9107484363495,12.655649620718,14.1639930237209,10.1674142359134,11.5865026256385,13.061013059161,14.2350844390333,9.28560534274262,10.8205989747652,11.64689997945,13.5230982775334,9.29875971601195,13.3798932809755,15.0884647095165,11.6484422131267,9.90032222602832,8.48262046496109,10.41098526431,11.6984325418688,10.1816861020556,11.2112923828175,9.57011800184302,9.49895541358546,8.63145009183519,11.9720264057853,12.1864272766752,10.0878072135702,11.0924416411332,8.08723726450519,9.94283880197884,10.4456966078418,12.9415556355404,12.9367252079536,14.4837652491418,6.6173402289155
Luminal_A,8.39588943832389,8.90725623293453,10.9900392430384,9.22408935502112,8.0263065935422,10.9415921215741,9.26316318238393,6.92955265715201,14.105866227571,10.310274484638,8.92508567044761,15.7867644563261,9.15400065048263,12.181755665529,7.32829095585893,11.7152390130202,12.0634820457603,14.651263295486,9.21686990828632,10.8558848137661,12.1891525294711,14.0336172928115,9.03178886262275,10.0159243908832,11.6240355718692,12.0432167934688,7.94125248350483,12.7980973088958,14.6203049286118,11.0307497497579,8.57030383364135,7.35484356623084,10.4006603802607,10.358637321175,9.97799369797171,7.67237129147794,8.68984104111165,8.26200615121975,11.1030165171525,12.8940069302479,12.5047336515191,9.72163554811295,10.9361072914573,7.50464815255313,8.94269745136231,9.36464371250108,12.8780769222777,12.8734929959712,14.1393060011355,6.35049559527855
Luminal_A,9.63636691846507,8.76977378155009,11.4511669350829,9.0656526721423,7.19834550710612,6.70853483614224,8.11858735755192,6.73740526645908,13.5170589874673,10.1553712268056,7.67201810412277,16.2182148919008,7.95615006605181,10.8929004029976,6.84743466475203,11.8243549103682,12.2601673931616,14.5393282962379,9.90165219753239,9.75052497221852,11.6455166444967,14.1928064957827,8.68339053299911,9.7398639076019,12.0675643290264,11.6000652366252,7.25933669027148,13.4637961636371,15.1241425065249,11.6000652366252,7.65698567329578,7.29861052794262,9.72912347418147,9.01349574178859,11.7323368680935,12.478960602508,8.36048479698099,8.23450931346296,12.7455101890468,11.4391350459207,11.2716070610537,8.81787424594773,11.7928978217248,5.80641617273185,7.74491684408541,9.15396130778499,12.4410707210205,12.4410707210205,12.3305427161787,5.96128817013204
E_positive,10.4965304944387,8.08017814313857,10.4841686427371,11.2185564274827,9.70750189747862,8.43515535278306,11.6861103158229,9.0567903804014,13.4507007961729,6.99255239559727,11.240771412569,11.3098195366218,11.515143470516,6.00383753250169,8.80178834305513,12.170833663926,14.5463638878106,16.0769499436327,10.7013086219436,12.5483085507096,4.99162891232489,14.6416220275879,9.63666705479289,11.6581838844981,12.4492406231483,12.3033918302132,10.9395106364142,15.6061140873055,15.1748327956861,12.4996247775713,10.6075448205372,10.6959586085693,7.61966513159493,11.4836649437074,13.4061431791824,13.5298872592335,9.39395663218319,10.0151900382774,11.565150088429,12.0874821909072,12.2159193427472,11.0568455658012,12.5758757638908,10.1287412006256,11.770607939655,11.2930863136702,5.35963780388111,4.39435359518347,10.5179120864077,4.16576513326551
E_positive,10.4441742573995,12.6856186213661,12.7753778834863,8.23077846318332,8.16788314728551,4.79676648430825,9.65049982140824,8.03321616720163,11.2890265913167,13.6993478980749,9.40981806378346,8.97475785887315,10.1685038407443,15.6348918838875,7.46692598052686,10.5689148895512,11.6658023977764,10.0371005101234,9.64421226507415,11.4088447406669,15.0082387834034,10.5578074261773,11.3832749690056,10.193119894233,12.574553802754,14.4235276514752,8.66269963494672,12.9674577230905,14.242959060511,10.496303051754,9.37733247210505,7.56781742633849,14.5539781041614,12.0563379094541,7.25220574438775,7.06405551840277,9.00451485873525,8.62061819574552,7.42841546447803,9.11473185762099,12.8605563750937,9.89251834903737,8.33854929068486,8.15614709738691,8.70761417199886,10.3938436538147,16.77852284989,14.6814300882738,11.9465012923276,10.8229108971783
Luminal_A,10.2132347269723,9.51720111754681,12.6203479332258,8.71764294770997,7.97608699077583,10.9505491931238,9.96807667120733,7.03000753963493,14.7498702461561,9.72474186512761,8.795000222052,13.7711717033825,10.1338493551431,12.1425101135986,6.94204940782863,11.6632271345829,14.3560111744739,14.7795596151966,8.95835020595938,11.4805987081304,14.1764011017992,14.4540603034041,8.90506738356502,10.7216894853814,12.3165655390645,12.6219213896583,9.52394928348249,17.7141034216788,15.1414083092535,11.1814884088953,8.59162080406228,8.43574543777035,11.4081301121951,11.962345768645,9.92411410257631,11.3308661564559,9.19449678022828,9.00732919450905,12.3182649226948,12.5406516487939,12.5001591800947,10.3944620425955,11.7994740489101,7.78144699987994,9.97671068296389,8.85510250533758,14.1406938093755,13.4400896238337,12.6810417957192,6.33762980091607
